raceId,year,circuitId,name,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,raceId,driverId,constructorId,grid,positionOrder,points,laps,rank,fastestLapSpeed,driverid,driverref
1051,2021,78,"Qatar Grand Prix",9116,1051,1,131,44,1,1:21.901,1:21.682,1:20.827,1051,1,131,1,1,25.0,57,2,227.633,1,hamilton
1051,2021,78,"Qatar Grand Prix",9117,1051,830,9,33,2,1:21.996,1:21.984,1:21.282,1051,830,9,7,2,19.0,57,1,232.799,830,max_verstappen
1051,2021,78,"Qatar Grand Prix",9120,1051,4,214,14,5,1:22.422,1:21.894,1:21.670,1051,4,214,3,3,15.0,57,10,223.437,4,alonso
1051,2021,78,"Qatar Grand Prix",9126,1051,815,9,11,11,1:22.398,1:22.346,\N,1051,815,9,11,4,12.0,57,3,226.227,815,perez
1051,2021,78,"Qatar Grand Prix",9124,1051,839,214,31,9,1:22.565,1:22.012,1:22.028,1051,839,214,9,5,10.0,57,13,222.464,839,ocon
1051,2021,78,"Qatar Grand Prix",9127,1051,840,117,18,12,1:22.551,1:22.460,\N,1051,840,117,12,6,8.0,57,17,221.713,840,stroll
1051,2021,78,"Qatar Grand Prix",9122,1051,832,6,55,7,1:22.304,1:22.241,1:21.840,1051,832,6,5,7,6.0,57,9,223.726,832,sainz
1051,2021,78,"Qatar Grand Prix",9128,1051,844,6,16,13,1:22.742,1:22.463,\N,1051,844,6,13,8,4.0,57,8,223.765,844,leclerc
1051,2021,78,"Qatar Grand Prix",9121,1051,846,1,4,6,1:22.839,1:22.216,1:21.731,1051,846,1,4,9,2.0,56,4,225.876,846,norris
1051,2021,78,"Qatar Grand Prix",9125,1051,20,117,5,10,1:22.549,1:22.146,1:22.785,1051,20,117,10,10,1.0,56,7,224.078,20,vettel
1051,2021,78,"Qatar Grand Prix",9119,1051,842,213,10,4,1:22.535,1:21.728,1:21.640,1051,842,213,2,11,0.0,56,11,222.572,842,gasly
1051,2021,78,"Qatar Grand Prix",9129,1051,817,1,3,14,1:22.688,1:22.597,\N,1051,817,1,14,12,0.0,56,14,222.115,817,ricciardo
1051,2021,78,"Qatar Grand Prix",9123,1051,852,213,22,8,1:22.458,1:22.058,1:21.881,1051,852,213,8,13,0.0,56,12,222.510,852,tsunoda
1051,2021,78,"Qatar Grand Prix",9131,1051,8,51,7,16,1:23.156,\N,\N,1051,8,51,16,14,0.0,56,6,224.275,8,raikkonen
1051,2021,78,"Qatar Grand Prix",9133,1051,841,51,99,18,1:23.262,\N,\N,1051,841,51,18,15,0.0,56,18,220.534,841,giovinazzi
1051,2021,78,"Qatar Grand Prix",9134,1051,854,210,47,19,1:23.407,\N,\N,1051,854,210,19,16,0.0,56,19,219.065,854,mick_schumacher
1051,2021,78,"Qatar Grand Prix",9130,1051,847,3,63,15,1:22.863,1:22.756,\N,1051,847,3,15,17,0.0,55,5,225.818,847,russell
1051,2021,78,"Qatar Grand Prix",9135,1051,853,210,9,20,1:25.859,\N,\N,1051,853,210,20,18,0.0,55,16,221.754,853,mazepin
1051,2021,78,"Qatar Grand Prix",9132,1051,849,3,6,17,1:23.213,\N,\N,1051,849,3,17,19,0.0,50,20,218.275,849,latifi
1051,2021,78,"Qatar Grand Prix",9118,1051,822,131,77,3,1:22.016,1:21.991,1:21.478,1051,822,131,6,20,0.0,48,15,221.992,822,bottas
1052,2021,3,"Bahrain Grand Prix",8736,1052,1,131,44,2,1:30.617,1:30.085,1:29.385,1052,1,131,2,1,25.0,56,4,207.235,1,hamilton
1052,2021,3,"Bahrain Grand Prix",8735,1052,830,9,33,1,1:30.499,1:30.318,1:28.997,1052,830,9,1,2,18.0,56,2,208.984,830,max_verstappen
1052,2021,3,"Bahrain Grand Prix",8737,1052,822,131,77,3,1:31.200,1:30.186,1:29.586,1052,822,131,3,3,16.0,56,1,211.566,822,bottas
1052,2021,3,"Bahrain Grand Prix",8741,1052,846,1,4,7,1:30.902,1:30.099,1:29.974,1052,846,1,7,4,12.0,56,6,206.398,846,norris
1052,2021,3,"Bahrain Grand Prix",8745,1052,815,9,11,11,1:31.165,1:30.659,\N,1052,815,9,0,5,10.0,56,3,207.334,815,perez
1052,2021,3,"Bahrain Grand Prix",8738,1052,844,6,16,4,1:30.691,1:30.010,1:29.678,1052,844,6,4,6,8.0,56,11,205.112,844,leclerc
1052,2021,3,"Bahrain Grand Prix",8740,1052,817,1,3,6,1:30.795,1:30.222,1:29.927,1052,817,1,6,7,6.0,56,10,205.233,817,ricciardo
1052,2021,3,"Bahrain Grand Prix",8742,1052,832,6,55,8,1:31.653,1:30.009,1:30.215,1052,832,6,8,8,4.0,56,7,206.151,832,sainz
1052,2021,3,"Bahrain Grand Prix",8747,1052,852,213,22,13,1:30.607,1:31.203,\N,1052,852,213,13,9,2.0,56,8,205.603,852,tsunoda
1052,2021,3,"Bahrain Grand Prix",8744,1052,840,117,18,10,1:31.261,1:30.624,1:30.601,1052,840,117,10,10,1.0,56,9,205.378,840,stroll
1052,2021,3,"Bahrain Grand Prix",8748,1052,8,51,7,14,1:31.547,1:31.238,\N,1052,8,51,14,11,0.0,56,14,204.672,8,raikkonen
1052,2021,3,"Bahrain Grand Prix",8746,1052,841,51,99,12,1:30.998,1:30.708,\N,1052,841,51,12,12,0.0,55,13,204.823,841,giovinazzi
1052,2021,3,"Bahrain Grand Prix",8750,1052,839,214,31,16,1:31.724,\N,\N,1052,839,214,16,13,0.0,55,15,204.548,839,ocon
1052,2021,3,"Bahrain Grand Prix",8749,1052,847,3,63,15,1:31.316,1:33.430,\N,1052,847,3,15,14,0.0,55,12,205.008,847,russell
1052,2021,3,"Bahrain Grand Prix",8752,1052,20,117,5,18,1:32.056,\N,\N,1052,20,117,20,15,0.0,55,16,203.871,20,vettel
1052,2021,3,"Bahrain Grand Prix",8753,1052,854,210,47,19,1:32.449,\N,\N,1052,854,210,18,16,0.0,55,18,202.667,854,mick_schumacher
1052,2021,3,"Bahrain Grand Prix",8739,1052,842,213,10,5,1:30.848,1:30.513,1:29.809,1052,842,213,5,17,0.0,52,5,207.069,842,gasly
1052,2021,3,"Bahrain Grand Prix",8751,1052,849,3,6,17,1:31.936,\N,\N,1052,849,3,17,18,0.0,51,19,201.685,849,latifi
1052,2021,3,"Bahrain Grand Prix",8743,1052,4,214,14,9,1:30.863,1:30.595,1:30.249,1052,4,214,9,19,0.0,32,17,202.816,4,alonso
1052,2021,3,"Bahrain Grand Prix",8754,1052,853,210,9,20,1:33.273,\N,\N,1052,853,210,19,20,0.0,0,0,\N,853,mazepin
1053,2021,21,"Emilia Romagna Grand Prix",8757,1053,830,9,33,3,1:15.109,1:14.884,1:14.498,1053,830,9,3,1,25.0,63,2,227.960,830,max_verstappen
1053,2021,21,"Emilia Romagna Grand Prix",8755,1053,1,131,44,1,1:14.823,1:14.817,1:14.411,1053,1,131,1,2,19.0,63,1,230.403,1,hamilton
1053,2021,21,"Emilia Romagna Grand Prix",8761,1053,846,1,4,7,1:15.009,1:14.718,1:14.875,1053,846,1,7,3,15.0,63,3,225.819,846,norris
1053,2021,21,"Emilia Romagna Grand Prix",8758,1053,844,6,16,4,1:15.413,1:14.808,1:14.740,1053,844,6,4,4,12.0,63,6,225.473,844,leclerc
1053,2021,21,"Emilia Romagna Grand Prix",8765,1053,832,6,55,11,1:15.406,1:15.199,\N,1053,832,6,11,5,10.0,63,7,225.154,832,sainz
1053,2021,21,"Emilia Romagna Grand Prix",8760,1053,817,1,3,6,1:15.669,1:15.033,1:14.826,1053,817,1,6,6,8.0,63,12,222.739,817,ricciardo
1053,2021,21,"Emilia Romagna Grand Prix",8759,1053,842,213,10,5,1:15.548,1:14.927,1:14.790,1053,842,213,5,7,6.0,63,9,223.718,842,gasly
1053,2021,21,"Emilia Romagna Grand Prix",8764,1053,840,117,18,10,1:15.522,1:15.138,\N,1053,840,117,10,8,4.0,63,8,224.320,840,stroll
1053,2021,21,"Emilia Romagna Grand Prix",8763,1053,839,214,31,9,1:15.385,1:15.117,1:15.210,1053,839,214,9,9,2.0,63,15,222.512,839,ocon
