,year,grid
2,2021,3
38,2021,9
49,2021,15
67,2021,13
96,2021,10
112,2021,17
124,2021,8
147,2021,8
166,2021,9
188,2021,14
205,2021,7
222,2021,9
249,2021,12
264,2021,9
286,2021,10
304,2021,6
334,2021,5
356,2021,19
367,2021,12
387,2021,12
411,2021,13
426,2021,11
447,2022,8
474,2022,7
495,2022,10
517,2022,9
529,2022,11
547,2022,20
565,2022,7
585,2022,10
607,2022,2
623,2022,7
648,2022,19
664,2022,7
686,2022,6
703,2022,3
724,2022,13
757,2022,6
776,2022,5
785,2022,7
805,2022,14
837,2022,9
843,2022,17
878,2022,10
881,2023,5
901,2023,2
921,2023,4
942,2023,6
961,2023,2
980,2023,2
1005,2023,8
1020,2023,2
1043,2023,7
1065,2023,9
1087,2023,8
1103,2023,9
